model,threshold,tn,fp,fn,tp,recall,f2,precision,f1,f05,fn_rate,fp_rate,business_value,positive_rate,score_type
GradientBoosting,0.09,10736,6804,634,1826,0.7422764227642277,0.49431510557661074,0.2115874855156431,0.32930568079350764,0.24689021092482422,0.2577235772357724,0.3879133409350057,-1558600,0.4315,predict_proba
GradientBoosting_Optuna,0.09,11993,5547,805,1655,0.6727642276422764,0.4855650745217697,0.22979727853374063,0.3425791761540054,0.26464756300370984,0.32723577235772355,0.316248574686431,-854800,0.3601,predict_proba
HistGradientBoosting,0.09,10736,6804,634,1826,0.7422764227642277,0.49431510557661074,0.2115874855156431,0.32930568079350764,0.24689021092482422,0.2577235772357724,0.3879133409350057,-1558600,0.4315,predict_proba
LogisticRegression,0.45,11925,5615,801,1659,0.6743902439024391,0.484690896342176,0.228072587297223,0.34086706389973287,0.262866015971606,0.325609756097561,0.3201254275940707,-906000,0.3637,predict_proba
