number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.28908047383621327,2026-05-29 04:04:56.071124,2026-05-29 04:04:56.287807,0 days 00:00:00.216683,0.6674250836504598,0.08092546450005342,8,35,49,34,0.29154431891537524,0.0491207281028277,0.6967983561008608,COMPLETE
1,0.3511839705056071,2026-05-29 04:04:56.287957,2026-05-29 04:04:56.470429,0 days 00:00:00.182472,0.7050213529560302,0.13995909036638496,3,41,66,42,0.0016480446427978971,0.022356209648036387,0.7045474901621301,COMPLETE
