model,best_index,best_params,best_recall,best_f2,best_precision,best_f1,best_f05,best_roc_auc,best_average_precision,train_recall,train_f2,recall_gap_train_minus_cv,f2_gap_train_minus_cv,seconds,path,threshold_model,threshold_threshold,threshold_tn,threshold_fp,threshold_fn,threshold_tp,threshold_recall,threshold_f2,threshold_precision,threshold_f1,threshold_f05,threshold_fn_rate,threshold_fp_rate,threshold_business_value,threshold_positive_rate,threshold_score_type
HistGradientBoosting,3.0,"{'clf__learning_rate': np.float64(0.1359792484318226), 'clf__max_depth': 3, 'clf__min_samples_leaf': 6, 'clf__n_estimators': 100, 'clf__subsample': np.float64(0.8661185283697008)}",0.24959349593495936,0.289709126202273,0.8134375221388886,0.38178128480014795,0.5598793273628966,0.7608862089903681,0.46968189564246837,0.2752032520325203,0.3192977077294942,0.025609756097560915,0.02958858152722116,256.5,c:\Users\PONCE\dp261-g1\models\tuned_HistGradientBoosting.pkl,HistGradientBoosting,0.09,10736,6804,634,1826,0.7422764227642277,0.49431510557661074,0.2115874855156431,0.32930568079350764,0.24689021092482422,0.2577235772357724,0.3879133409350057,-1558600,0.4315,predict_proba
GradientBoosting,3.0,"{'clf__learning_rate': np.float64(0.1359792484318226), 'clf__max_depth': 3, 'clf__min_samples_leaf': 6, 'clf__n_estimators': 100, 'clf__subsample': np.float64(0.8661185283697008)}",0.24959349593495936,0.289709126202273,0.8134375221388886,0.38178128480014795,0.5598793273628966,0.7608862089903681,0.46968189564246837,0.2752032520325203,0.3192977077294942,0.025609756097560915,0.02958858152722116,257.4,c:\Users\PONCE\dp261-g1\models\tuned_GradientBoosting.pkl,GradientBoosting,0.09,10736,6804,634,1826,0.7422764227642277,0.49431510557661074,0.2115874855156431,0.32930568079350764,0.24689021092482422,0.2577235772357724,0.3879133409350057,-1558600,0.4315,predict_proba
LogisticRegression,5.0,"{'clf__C': np.float64(0.12635200422215126), 'clf__class_weight': 'balanced'}",0.5902439024390244,0.47243055627050745,0.26273839153657896,0.36359741079992913,0.29552778369097416,0.7495289512473231,0.42693516239500784,0.6364837398373984,0.5068779892713673,0.046239837398374006,0.03444743300085984,31.0,c:\Users\PONCE\dp261-g1\models\tuned_LogisticRegression.pkl,LogisticRegression,0.45,11925,5615,801,1659,0.6743902439024391,0.484690896342176,0.228072587297223,0.34086706389973287,0.262866015971606,0.325609756097561,0.3201254275940707,-906000,0.3637,predict_proba
GradientBoosting_Optuna,,,0.26697279020623305,0.0,0.0,,,,,,,,,,c:\Users\PONCE\dp261-g1\models\tuned_gradient_boosting_optuna.pkl,GradientBoosting_Optuna,0.09,11993,5547,805,1655,0.6727642276422764,0.4855650745217697,0.22979727853374063,0.3425791761540054,0.26464756300370984,0.32723577235772355,0.316248574686431,-854800,0.3601,predict_proba
