model,fit_time_mean,accuracy_cv_mean,accuracy_cv_std,accuracy_train_mean,accuracy_gap,precision_cv_mean,precision_cv_std,precision_train_mean,precision_gap,recall_cv_mean,recall_cv_std,recall_train_mean,recall_gap,f1_cv_mean,f1_cv_std,f1_train_mean,f1_gap,f05_cv_mean,f05_cv_std,f05_train_mean,f05_gap,f2_cv_mean,f2_cv_std,f2_train_mean,f2_gap,roc_auc_cv_mean,roc_auc_cv_std,roc_auc_train_mean,roc_auc_gap,average_precision_cv_mean,average_precision_cv_std,average_precision_train_mean,average_precision_gap
Stacking_lr,4.17014479637146,0.89835,0.0034190641994557504,0.9000499999999999,0.0016999999999999238,0.7957940535443416,0.03678196615965305,0.8183189809640743,0.022524927419732665,0.23292682926829272,0.020631833399104918,0.24085365853658533,0.007926829268292607,0.3601886128295766,0.028147752013621102,0.3721139866549007,0.011925373825324104,0.5361087414864276,0.03441565808461465,0.5529868076430376,0.016878066156610028,0.27125568938891365,0.023170184571624283,0.2804174586190943,0.009161769230180639,0.7561043978455748,0.01678518544065609,0.810404513840606,0.05430011599503115,0.45017081145820076,0.03522549972458734,0.5012242356960889,0.05105342423788811
Voting_soft,1.242830514907837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
