model,best_index,best_params,best_recall,best_f2,best_precision,best_f1,best_f05,best_roc_auc,best_average_precision,train_recall,train_f2,recall_gap_train_minus_cv,f2_gap_train_minus_cv,seconds,path
LogisticRegression,5,"{'clf__C': np.float64(0.12635200422215126), 'clf__class_weight': 'balanced'}",0.5902439024390244,0.47243055627050745,0.26273839153657896,0.36359741079992913,0.29552778369097416,0.7495289512473231,0.42693516239500784,0.6364837398373984,0.5068779892713673,0.046239837398374006,0.03444743300085984,31.0,c:\Users\PONCE\dp261-g1\models\tuned_LogisticRegression.pkl
HistGradientBoosting,3,"{'clf__learning_rate': np.float64(0.1359792484318226), 'clf__max_depth': 3, 'clf__min_samples_leaf': 6, 'clf__n_estimators': 100, 'clf__subsample': np.float64(0.8661185283697008)}",0.24959349593495936,0.289709126202273,0.8134375221388886,0.38178128480014795,0.5598793273628966,0.7608862089903681,0.46968189564246837,0.2752032520325203,0.3192977077294942,0.025609756097560915,0.02958858152722116,256.5,c:\Users\PONCE\dp261-g1\models\tuned_HistGradientBoosting.pkl
GradientBoosting,3,"{'clf__learning_rate': np.float64(0.1359792484318226), 'clf__max_depth': 3, 'clf__min_samples_leaf': 6, 'clf__n_estimators': 100, 'clf__subsample': np.float64(0.8661185283697008)}",0.24959349593495936,0.289709126202273,0.8134375221388886,0.38178128480014795,0.5598793273628966,0.7608862089903681,0.46968189564246837,0.2752032520325203,0.3192977077294942,0.025609756097560915,0.02958858152722116,257.4,c:\Users\PONCE\dp261-g1\models\tuned_GradientBoosting.pkl
