model,fit_time_mean,accuracy_cv_mean,accuracy_cv_std,accuracy_train_mean,accuracy_gap,precision_cv_mean,precision_cv_std,precision_train_mean,precision_gap,recall_cv_mean,recall_cv_std,recall_train_mean,recall_gap,f1_cv_mean,f1_cv_std,f1_train_mean,f1_gap,f05_cv_mean,f05_cv_std,f05_train_mean,f05_gap,f2_cv_mean,f2_cv_std,f2_train_mean,f2_gap,roc_auc_cv_mean,roc_auc_cv_std,roc_auc_train_mean,roc_auc_gap,average_precision_cv_mean,average_precision_cv_std,average_precision_train_mean,average_precision_gap,status,seconds_total,model_path,discard_reason
GradientBoosting,8.366080141067505,0.9013,0.0030306764921383,0.905925,0.0046249999999998,0.8327560762785812,0.0286669690662055,0.8896047436447372,0.056848667366156,0.2467479674796747,0.0182066631516737,0.2684959349593495,0.0217479674796747,0.38057753476071,0.0245979034127398,0.4124536602064865,0.0318761254457765,0.5643389453352301,0.0294099797376779,0.6081272993032311,0.0437883539680009,0.2871310184616844,0.020393322075362,0.312061414077055,0.0249303956153705,0.7651902503916714,0.0151772851440371,0.8152920321205421,0.0501017817288707,0.4723656510850402,0.0251893102035496,0.5570983840657193,0.0847327329806791,ok,42.6,/Users/alexandralozano/dp261-g1/models/baseline_GradientBoosting.pkl,menor prioridad para tuning
HistGradientBoosting,0.9933676242828368,0.9025,0.0024341322889276,0.9094375,0.0069374999999998,0.8637071012379135,0.0228095880085899,0.9362483720544124,0.0725412708164988,0.2459349593495935,0.0158484460891202,0.2829268292682926,0.0369918699186991,0.3827116785360989,0.0211322496414617,0.4344322098103504,0.0517205312742515,0.5745775084895011,0.0244882687142702,0.6402440227118366,0.0656665142223354,0.2869507740325254,0.0176948075189482,0.3287873111092475,0.041836537076722,0.7654399120245479,0.014724133907586,0.9141606858539368,0.1487207738293888,0.479953011773759,0.0236342302844256,0.7319597643344077,0.2520067525606486,ok,5.8,/Users/alexandralozano/dp261-g1/models/baseline_HistGradientBoosting.pkl,menor F2 que los modelos priorizados
RandomForest,1.5703020095825195,0.9015,0.0026315394733881,0.99995,0.0984499999999998,0.8804767411240876,0.0388418162889347,1.0,0.1195232588759124,0.2304878048780487,0.0130208271366235,0.9995934959349594,0.7691056910569106,0.3652571942491193,0.0190809141161247,0.9997966704758114,0.6345394762266922,0.5627691786145995,0.0266509508996409,0.9999186495797144,0.4371494709651148,0.2703917295816914,0.0149169839370106,0.9996747471659028,0.7292830175842113,0.7512028255972412,0.0154772723033095,1.0,0.2487971744027588,0.4589450508022774,0.027107396571599,1.0,0.5410549491977226,ok,10.1,/Users/alexandralozano/dp261-g1/models/baseline_RandomForest.pkl,menor F2 que los modelos priorizados
KNN,0.1965301990509033,0.8772,0.0006595452979136,0.8788874999999999,0.0016874999999999,0.5472727272727272,0.1208114590250952,0.7664567206192822,0.2191839933465549,0.0117886178861788,0.0019914550754334,0.0221544715447154,0.0103658536585365,0.0230744039898228,0.0039116199731892,0.0430459222205477,0.0199715182307249,0.054220051863414,0.0092869256940806,0.0991501254798182,0.0449300736164042,0.0146559134233038,0.0024779972275535,0.0274913613947052,0.0128354479714014,0.6550961333444578,0.0202027694764095,0.8140110532777577,0.1589149199332998,0.2171285783580747,0.0123017929081332,0.3664276984629829,0.1492991201049082,ok,175.2,/Users/alexandralozano/dp261-g1/models/baseline_KNN.pkl,menor F2 que los modelos priorizados
