model,fit_time_mean,accuracy_cv_mean,accuracy_cv_std,accuracy_train_mean,accuracy_gap,precision_cv_mean,precision_cv_std,precision_train_mean,precision_gap,recall_cv_mean,recall_cv_std,recall_train_mean,recall_gap,f1_cv_mean,f1_cv_std,f1_train_mean,f1_gap,f05_cv_mean,f05_cv_std,f05_train_mean,f05_gap,f2_cv_mean,f2_cv_std,f2_train_mean,f2_gap,roc_auc_cv_mean,roc_auc_cv_std,roc_auc_train_mean,roc_auc_gap,average_precision_cv_mean,average_precision_cv_std,average_precision_train_mean,average_precision_gap
DecisionTree,0.4857017040252686,0.6947,0.035974087896707,0.714925,0.02022500000000005,0.22859551068563438,0.014958793341499505,0.2603067444234918,0.03171123373785739,0.6138211382113822,0.054538243353653405,0.6971544715447154,0.08333333333333326,0.33165989032842347,0.00991260248798905,0.37743392662648884,0.04577403629806537,0.2609470852452215,0.013896547419346459,0.2970865567853366,0.0361394715401151,0.4566614724549479,0.01620160118952826,0.5192899694711007,0.0626284970161528,0.7189804256936526,0.013029731067584756,0.7934732986912609,0.07449287299760832,0.4213012294777504,0.02066744401654797,0.48780427127355513,0.06650304179580474
LogisticRegression,0.37845001220703123,0.74175,0.005258326730053975,0.7489,0.00714999999999999,0.2631260523757653,0.009963781982607132,0.27883116245976985,0.015705110084004548,0.6109756097560977,0.027196306802728016,0.6564024390243903,0.04542682926829267,0.3678237397192252,0.0145375830404364,0.3913971435373325,0.023573403818107297,0.2969328339937774,0.011391787919404395,0.31507750951131175,0.018144675517534348,0.48319506447439353,0.020154404846272126,0.5165121063349969,0.03331704186060336,0.7540357232249632,0.016458998013780937,0.7900530422333156,0.03601731900835248,0.43602284167940847,0.03527455217019561,0.4639693296220204,0.027946487942611953
LinearSVM,0.4238060474395752,0.7478,0.0034763486591537283,0.7557625,0.007962499999999983,0.2671819323598317,0.008728372861673052,0.2838626973047548,0.0166807649449231,0.6032520325203252,0.027850720541399407,0.6471544715447154,0.04390243902439017,0.3703190888544852,0.013559445633326377,0.3946250240318611,0.024305935177375892,0.3006769761376945,0.010200046759036676,0.3197624906056832,0.019085514467988673,0.4819688448333587,0.01981381024492411,0.5152604078998004,0.03329156306644171,0.7540272640468707,0.016581113444263433,0.7896057776765767,0.03557851362970599,0.43072795207045755,0.03676976704076462,0.460187740287485,0.02945978821702744
