model,fit_time_mean,accuracy_cv_mean,accuracy_cv_std,accuracy_train_mean,accuracy_gap,precision_cv_mean,precision_cv_std,precision_train_mean,precision_gap,recall_cv_mean,recall_cv_std,recall_train_mean,recall_gap,f1_cv_mean,f1_cv_std,f1_train_mean,f1_gap,f05_cv_mean,f05_cv_std,f05_train_mean,f05_gap,f2_cv_mean,f2_cv_std,f2_train_mean,f2_gap,roc_auc_cv_mean,roc_auc_cv_std,roc_auc_train_mean,roc_auc_gap,average_precision_cv_mean,average_precision_cv_std,average_precision_train_mean,average_precision_gap,source
DecisionTree,0.4857017040252686,0.6947,0.035974087896707,0.714925,0.02022500000000005,0.22859551068563438,0.014958793341499505,0.2603067444234918,0.03171123373785739,0.6138211382113822,0.054538243353653405,0.6971544715447154,0.08333333333333326,0.33165989032842347,0.00991260248798905,0.37743392662648884,0.04577403629806537,0.2609470852452215,0.013896547419346459,0.2970865567853366,0.0361394715401151,0.4566614724549479,0.01620160118952826,0.5192899694711007,0.0626284970161528,0.7189804256936526,0.013029731067584756,0.7934732986912609,0.07449287299760832,0.4213012294777504,0.02066744401654797,0.48780427127355513,0.06650304179580474,tuned_loaded
LogisticRegression,0.37845001220703123,0.74175,0.005258326730053975,0.7489,0.00714999999999999,0.2631260523757653,0.009963781982607132,0.27883116245976985,0.015705110084004548,0.6109756097560977,0.027196306802728016,0.6564024390243903,0.04542682926829267,0.3678237397192252,0.0145375830404364,0.3913971435373325,0.023573403818107297,0.2969328339937774,0.011391787919404395,0.31507750951131175,0.018144675517534348,0.48319506447439353,0.020154404846272126,0.5165121063349969,0.03331704186060336,0.7540357232249632,0.016458998013780937,0.7900530422333156,0.03601731900835248,0.43602284167940847,0.03527455217019561,0.4639693296220204,0.027946487942611953,tuned_loaded
LinearSVM,0.4238060474395752,0.7478,0.0034763486591537283,0.7557625,0.007962499999999983,0.2671819323598317,0.008728372861673052,0.2838626973047548,0.0166807649449231,0.6032520325203252,0.027850720541399407,0.6471544715447154,0.04390243902439017,0.3703190888544852,0.013559445633326377,0.3946250240318611,0.024305935177375892,0.3006769761376945,0.010200046759036676,0.3197624906056832,0.019085514467988673,0.4819688448333587,0.01981381024492411,0.5152604078998004,0.03329156306644171,0.7540272640468707,0.016581113444263433,0.7896057776765767,0.03557851362970599,0.43072795207045755,0.03676976704076462,0.460187740287485,0.02945978821702744,tuned_loaded
XGBoost,0.3095057010650635,0.7699,0.0022282279955157295,0.79935,0.029449999999999976,0.28593405038809677,0.008260641518901888,0.3464094170757862,0.060475366687689436,0.5825203252032521,0.0323828394579747,0.7103658536585366,0.1278455284552844,0.38350826782658987,0.014382016137887066,0.4656508581387061,0.08214259031211624,0.31832359213441863,0.010089817978127748,0.38593573035133383,0.0676121382169152,0.48234336471093664,0.02241647333584617,0.5869350033039833,0.10459163859304665,0.766292377005868,0.014108576519057144,0.8559213594826227,0.08962898247675466,0.47723113234929215,0.027078405681853344,0.5829926905421938,0.10576155819290167,advanced_boosting
LightGBM,0.40400052070617676,0.7974500000000001,0.0037496666518505245,0.868275,0.07082499999999992,0.3115588979140069,0.014141860611583248,0.4804007092680953,0.16884181135408838,0.5365853658536585,0.04063007621696995,0.8632113821138212,0.32662601626016274,0.3941149151146369,0.022288340351194657,0.6172169158415061,0.22310200072686914,0.3400389157889713,0.016736995566227347,0.5271345218217138,0.18709560603274256,0.468745991158686,0.031244326360286435,0.7444886997403926,0.2757427085817066,0.7660798546411919,0.014468249113085209,0.9458503349776585,0.1797704803364666,0.47927268968813197,0.028357350323624474,0.7503996586185586,0.27112696893042665,advanced_boosting
Bagging_DecisionTree,6.370872640609742,0.7971999999999999,0.008278586835927951,0.81595,0.018750000000000044,0.3106700515663395,0.01940000351325519,0.35784036007719944,0.04717030851085996,0.532520325203252,0.03920183236175998,0.6229674796747967,0.09044715447154472,0.3922926341742344,0.025196498124151666,0.4544632381863776,0.06217060401214325,0.33886032056260673,0.02126072054947139,0.39108914714656173,0.052228826583955,0.4658427628287242,0.03177790632755408,0.5424521223286579,0.0766093594999337,0.756701696934301,0.020187089186809896,0.8365788041966795,0.07987710726237851,0.46817290537686873,0.029535630320871625,0.5429597738763782,0.07478686849950944,bagging
Stacking_lr,4.17014479637146,0.89835,0.0034190641994557504,0.9000499999999999,0.0016999999999999238,0.7957940535443416,0.03678196615965305,0.8183189809640743,0.022524927419732665,0.23292682926829272,0.020631833399104918,0.24085365853658533,0.007926829268292607,0.3601886128295766,0.028147752013621102,0.3721139866549007,0.011925373825324104,0.5361087414864276,0.03441565808461465,0.5529868076430376,0.016878066156610028,0.27125568938891365,0.023170184571624283,0.2804174586190943,0.009161769230180639,0.7561043978455748,0.01678518544065609,0.810404513840606,0.05430011599503115,0.45017081145820076,0.03522549972458734,0.5012242356960889,0.05105342423788811,ensemble
Voting_soft,1.242830514907837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ensemble
