rank,model_key,primary_metric,cv_folds,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_mean,test_f1_std,test_roc_auc_mean,test_roc_auc_std,fit_time_mean,score_time_mean,score_method,oof_accuracy,oof_precision,oof_recall,oof_f1,oof_roc_auc,oof_average_precision,train_accuracy_mean,accuracy_gap,train_precision_mean,precision_gap,train_recall_mean,recall_gap,train_f1_mean,f1_gap,train_roc_auc_mean,roc_auc_gap,f1_diagnosis,rank_primary_metric,interpretability,model_family,speed_bucket,precision_recall_gap,selected_for_sprint4,selection_reason,discard_reason
1,rf,f1,5,0.9886534518113466,0.0004240611415019,0.9796249368256946,0.0009291349080129,0.9980665950590764,0.0002720122698405,0.988759471444296,0.00041434512951,0.9994374601495616,0.0001433987498958,63.00696840286255,1.1627395153045654,predict_proba,0.9886534518113466,0.97962391458529,0.9980665950590762,0.9887592624837968,0.9994369429776276,0.9995917315473244,1.0,0.0113465481886534,1.0,0.0203750631743053,1.0,0.0019334049409236,1.0,0.011240528555704,1.0,0.0005625398504383,sin brecha fuerte,1,media,ensamble de árboles,más lento,-0.01844165823338173,True,Top 1 por F1 (CV) | OOF F1=0.989 | AUC CV=0.999 | Interpretabilidad: media | Velocidad: más lento,
2,dt,f1,5,0.9251342642320086,0.0017721197300303,0.8707585876277314,0.002642707417693,0.998476711258666,0.0001324544474782,0.9302523462480206,0.0015391287019,0.9251342642320086,0.0017721197300304,11.45315442085266,0.3659450531005859,predict_proba,0.9251342642320086,0.8707507323387151,0.998476711258666,0.9302499067512122,0.9251342642320084,0.8701859719223023,1.0,0.0748657357679913,1.0,0.1292414123722686,1.0,0.0015232887413338,1.0,0.0697476537519794,1.0,0.0748657357679913,brecha moderada,2,alta,árbol simple,más rápido,-0.1277181236309346,True,Top 2 por F1 (CV) | OOF F1=0.930 | AUC CV=0.925 | Interpretabilidad: alta | Velocidad: más rápido,
3,knn,f1,5,0.8251440289034274,0.001037815077089,0.7548625543277359,0.0010890169013906,0.9630309540083976,0.0023715088206017,0.8463320829938773,0.0009779281440852,0.9077162557922852,0.0009124050515474,1.322752332687378,234.48087162971495,predict_proba,0.8251440289034274,0.7548602394146282,0.9630309540083976,0.846332735495276,0.907708916222447,0.855977563407087,,,,,,,,,,,,3,media-baja,instancias / distancia,más rápido,-0.2081683996806617,True,Top 3 por F1 (CV) | OOF F1=0.846 | AUC CV=0.908 | Interpretabilidad: media-baja | Velocidad: más rápido,
4,svm,f1,5,0.4995020017576409,0.0003774269717818,0.4997490760171384,0.0001909582686127,0.9941216678058784,0.0037704278093118,0.6651312558840103,0.0010005841548368,0.5600825343095284,0.0607259443910524,18.243640899658203,7.023308038711548,decision_function,0.4995020017576408,0.4997496539333785,0.9941216678058784,0.6651335389118277,0.5119801534126088,0.5203054396954909,0.4995264134361878,2.4411678546942817e-05,0.4997609744247292,1.1898407590749116e-05,0.9942095498486476,8.788204276921618e-05,0.6651609237388847,2.9667854874348976e-05,0.5653631868035418,0.0052806524940134,sin brecha fuerte,4,baja,margen máximo,más lento,-0.49437259178874,False,,No quedó en top 3 por F1 (CV) | mayor costo computacional | menor interpretabilidad
5,lr,f1,5,0.6634410702079875,0.0026036356979588,0.6655059680143779,0.0037414397842778,0.6573186212283957,0.0075716448439929,0.6613507438769931,0.0035010171821924,0.7245532782011906,0.0022347449435072,10.076349449157714,0.3843127250671386,predict_proba,0.6634410702079875,0.665467199177508,0.6573186212283957,0.6613678119135808,0.7244737942907251,0.7086756037783787,0.6657015916414413,0.0022605214334537,0.667737312449127,0.0022313444347491,0.6597012010545845,0.0023825798261888,0.6636784116888685,0.0023276678118754,0.7275962324291575,0.0030429542279668,sin brecha fuerte,5,alta,lineal,más rápido,0.008187346785982208,False,,No quedó en top 3 por F1 (CV)
