model_key,primary_metric,cv_folds,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_mean,test_f1_std,test_roc_auc_mean,test_roc_auc_std,fit_time_mean,score_time_mean
rf,precision,5,0.9886534518113466,0.00042406114150198774,0.9796249368256946,0.0009291349080129262,0.9980665950590764,0.00027201226984051974,0.988759471444296,0.0004143451295100812,0.9994374601495617,0.00014339874989585696,83.68521633148194,2.240953874588013
dt,precision,5,0.9251342642320086,0.0017721197300303538,0.8707585876277314,0.002642707417693065,0.9984767112586661,0.00013245444747828286,0.9302523462480206,0.0015391287019000575,0.9251342642320086,0.0017721197300304007,13.764366579055785,0.4343258380889893
knn,precision,5,0.8247632067180939,0.0009433905729334656,0.7544087294669818,0.0016813696382380983,0.9630504833512352,0.002012185821289534,0.8460528649049609,0.000602727207863807,0.907730923299407,0.0009058021524109175,1.142384672164917,333.83054580688474
gb,precision,5,0.6763694951664877,0.004013576921200041,0.6711172108815814,0.004581468169908796,0.6917879113367834,0.004519513583038291,0.681284577458421,0.0036237359800963117,0.7434496803960401,0.0028234854611335317,54.8953866481781,0.5052202224731446
lr,precision,5,0.6634410702079875,0.0026036356979588487,0.6655059680143779,0.0037414397842778675,0.6573186212283957,0.007571644843992927,0.6613507438769931,0.0035010171821924408,0.7245532782011906,0.0022347449435072457,11.63479266166687,0.38133935928344725
svm,precision,5,0.4995020017576409,0.0003774269717818071,0.49974907601713847,0.0001909582686127635,0.9941216678058783,0.00377042780931184,0.6651312558840103,0.0010005841548368164,0.5600825343095284,0.06072594439105242,21.732807064056395,7.942674779891968
