model_key,fold,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,fit_time,score_time
lr,1,0.6649253002636462,0.6658483896307934,0.6621423689092862,0.6639902080783354,0.7253904845951559,12.52986192703247,0.35872888565063477
lr,2,0.6658041206913388,0.6656585365853659,0.6662435309051851,0.6659509052754868,0.7273535830618412,12.66982913017273,0.4369359016418457
lr,3,0.6626794258373205,0.6633333333333333,0.6606776681964652,0.6620028374345678,0.7254814187532665,10.866136074066162,0.4300069808959961
lr,4,0.6586759105556098,0.6607001582278481,0.6523776974904795,0.6565125534319265,0.7206667425579611,11.839152097702026,0.3386359214782715
lr,5,0.6651205936920223,0.6719894222945484,0.6451518406405624,0.658297215164649,0.7238741620377284,10.268984079360962,0.3423891067504883
dt,1,0.9269114344302314,0.8733561058923996,0.9986329460013671,0.931802651359847,0.9269114344302315,13.006277799606323,0.3924391269683838
dt,2,0.9258861439312567,0.8717926860455204,0.9986329460013671,0.9309120699071546,0.9258861439312568,13.086242198944092,0.4216618537902832
dt,3,0.9266673176447613,0.8731744811683321,0.9983400058588029,0.9315717539863326,0.9266673176447613,14.954982995986938,0.4626460075378418
dt,4,0.9222732155062983,0.8665141113653699,0.9983400058588029,0.9277676950998185,0.9222732155062983,14.099592924118042,0.4763641357421875
dt,5,0.9239332096474954,0.8689555536670349,0.9984376525729909,0.9292075608869502,0.9239332096474953,13.674736976623535,0.41851806640625
rf,1,0.9880871008690557,0.9786459829550895,0.9979494190020506,0.9882034422742216,0.999358931824849,85.15552401542664,1.406893014907837
rf,2,0.9890147446538424,0.980521972749952,0.9978517722878625,0.9891109713013599,0.9996009032621411,85.73648929595947,2.610214948654175
rf,3,0.9889659212967483,0.980520103636887,0.9977541255736745,0.9890620462685122,0.999336458110823,83.39136791229248,1.8725240230560303
rf,4,0.9890147446538424,0.9800613496932515,0.9983400058588029,0.9891162385720506,0.9992728699908228,83.0756516456604,1.6835272312164307
rf,5,0.9881847475832438,0.9783752750932925,0.9984376525729909,0.9883046588053354,0.9996181375591722,81.06704878807068,3.631610155105591
knn,1,0.8247241480324187,0.7538743415527903,0.9642613026071672,0.8461868037703514,0.9076141801259693,1.1860980987548828,503.369647026062
knn,2,0.8235523874621619,0.7516518569150148,0.9664095303193048,0.8456083390293917,0.9065825918382316,1.1719930171966553,274.27459716796875
knn,3,0.8253588516746412,0.7555606688142353,0.9619177814666536,0.8463421968297608,0.9078582397021547,1.0071730613708496,331.22500681877136
knn,4,0.8239917976760082,0.7543308293729879,0.9609413143247729,0.845192596727788,0.9072734893004001,1.3165409564971924,289.52580404281616
knn,5,0.8261888487452397,0.7566259506798801,0.9617224880382775,0.8469343881675122,0.9093261155302794,1.0301182270050049,270.75767397880554
svm,1,0.49946294307196565,0.49973072215422276,0.9966800117176057,0.6656883845300985,0.5841043468367809,23.580374002456665,9.323767900466919
svm,2,0.49887706278683724,0.49943179010820693,0.987012987012987,0.663254593175853,0.4577794382031075,24.44994306564331,8.065346002578735
svm,3,0.5,0.5,0.9977541255736745,0.6661668350881768,0.6292522743622665,21.054970264434814,7.522231101989746
svm,4,0.4994141197148716,0.4997055070187494,0.994141197148716,0.665098807773967,0.5287965175487908,20.166449069976807,7.56516695022583
svm,5,0.49975588321452985,0.4998773608045131,0.9950200175764086,0.6654476588519559,0.6004800945966965,19.412298917770386,7.236861944198608
gb,1,0.6773264329655307,0.673414820473644,0.6886046284542525,0.6809250229324578,0.7427531211216575,51.84213304519653,0.5111191272735596
gb,2,0.6813299482472415,0.6746285499341734,0.7005175275851968,0.6873293413173652,0.7480424055432517,54.66382384300232,0.4433891773223877
gb,3,0.6759105556098037,0.6717513585661169,0.6880187481691241,0.6797877472262421,0.7447452437654728,54.7876501083374,0.4861948490142822
gb,4,0.6691729323308271,0.6621431913897988,0.690850502880578,0.6761922966644366,0.7396035116241304,60.01998209953308,0.6120359897613525
gb,5,0.6781076066790352,0.6736481340441737,0.6909481495947661,0.6821884791516027,0.7421041199256879,53.16334414482117,0.4733619689941406
