model_key,label,precision,recall,f1-score,support
lr,0,0.6614639604877296,0.6695635191875794,0.6654890961499267,51205.0
lr,1,0.665467199177508,0.6573186212283957,0.6613678119135808,51205.0
lr,accuracy,0.6634410702079875,0.6634410702079875,0.6634410702079875,0.6634410702079875
lr,macro avg,0.6634655798326188,0.6634410702079876,0.6634284540317538,102410.0
lr,weighted avg,0.6634655798326188,0.6634410702079875,0.6634284540317537,102410.0
dt,0,0.9982148578752231,0.851791817205351,0.919208843085807,51205.0
dt,1,0.8707507323387151,0.9984767112586661,0.9302499067512122,51205.0
dt,accuracy,0.9251342642320086,0.9251342642320086,0.9251342642320086,0.9251342642320086
dt,macro avg,0.9344827951069692,0.9251342642320086,0.9247293749185096,102410.0
dt,weighted avg,0.9344827951069692,0.9251342642320086,0.9247293749185096,102410.0
rf,0,0.9980294978205052,0.9792403085636169,0.9885456301874889,51205.0
rf,1,0.9796239145852901,0.9980665950590762,0.9887592624837968,51205.0
rf,accuracy,0.9886534518113466,0.9886534518113466,0.9886534518113466,0.9886534518113466
rf,macro avg,0.9888267062028977,0.9886534518113466,0.9886524463356428,102410.0
rf,weighted avg,0.9888267062028975,0.9886534518113466,0.9886524463356428,102410.0
knn,0,0.9489242232000648,0.6864759300849527,0.7966412836551536,51205.0
knn,1,0.7544020683219361,0.9630504833512352,0.84605222523419,51205.0
knn,accuracy,0.8247632067180939,0.8247632067180939,0.8247632067180939,0.8247632067180939
knn,macro avg,0.8516631457610004,0.8247632067180939,0.8213467544446718,102410.0
knn,weighted avg,0.8516631457610004,0.8247632067180939,0.8213467544446718,102410.0
svm,0,0.4537205081669691,0.004882335709403379,0.009660715665816524,51205.0
svm,1,0.4997496539333785,0.9941216678058783,0.6651335389118277,51205.0
svm,accuracy,0.49950200175764087,0.49950200175764087,0.49950200175764087,0.49950200175764087
svm,macro avg,0.4767350810501738,0.4995020017576408,0.3373971272888221,102410.0
svm,weighted avg,0.4767350810501738,0.49950200175764087,0.33739712728882215,102410.0
gb,0,0.6819812195220247,0.6609510789961918,0.671301484662455,51205.0
gb,1,0.6710935131858139,0.6917879113367835,0.6812835973035609,51205.0
gb,accuracy,0.6763694951664877,0.6763694951664877,0.6763694951664877,0.6763694951664877
gb,macro avg,0.6765373663539194,0.6763694951664876,0.676292540983008,102410.0
gb,weighted avg,0.6765373663539194,0.6763694951664877,0.6762925409830081,102410.0
