rank,model_key,primary_metric,cv_folds,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_mean,test_f1_std,test_roc_auc_mean,test_roc_auc_std,fit_time_mean,score_time_mean,score_method,oof_accuracy,oof_precision,oof_recall,oof_f1,oof_roc_auc,oof_average_precision,train_accuracy_mean,accuracy_gap,train_precision_mean,precision_gap,train_recall_mean,recall_gap,train_f1_mean,f1_gap,train_roc_auc_mean,roc_auc_gap,f1_diagnosis,rank_primary_metric,interpretability,model_family,speed_bucket,precision_recall_gap,selected_for_sprint4,selection_reason,discard_reason,search_method,best_cv_score,improvement_abs,improvement_pct
1,rf,precision,5,0.9886534518113466,0.0004240611415019,0.9796249368256946,0.0009291349080129,0.9980665950590764,0.0002720122698405,0.988759471444296,0.00041434512951,0.9994374601495616,0.0001433987498958,83.68521633148194,2.240953874588013,predict_proba,0.9886534518113466,0.97962391458529,0.9980665950590762,0.9887592624837968,0.9994369429776276,0.9995917315473244,1.0,0.0113465481886534,1.0,0.0203750631743053,1.0,0.0019334049409236,1.0,0.011240528555704,1.0,0.0005625398504383,sin brecha fuerte,1,media,ensamble de árboles,más lento,-0.0184416582333817,True,Top 1 por Precision (CV) | prioriza control de falsos positivos | OOF Precision=0.980 | PR Gap=-0.018 | AUC CV=0.999 | Interpretabilidad: media | Velocidad: más lento,,grid,0.9811679262563618,0.0015429894306672187,0.1575081822301308
2,dt,precision,5,0.9251342642320086,0.0017721197300303,0.8707585876277314,0.002642707417693,0.998476711258666,0.0001324544474782,0.9302523462480206,0.0015391287019,0.9251342642320086,0.0017721197300304,13.764366579055784,0.4343258380889893,predict_proba,0.9251342642320086,0.8707507323387151,0.998476711258666,0.9302499067512122,0.9251342642320084,0.8701859719223023,1.0,0.0748657357679913,1.0,0.1292414123722686,1.0,0.0015232887413338,1.0,0.0697476537519794,1.0,0.0748657357679913,brecha moderada,2,alta,árbol simple,más rápido,-0.1277181236309346,True,Top 2 por Precision (CV) | prioriza control de falsos positivos | OOF Precision=0.871 | PR Gap=-0.128 | AUC CV=0.925 | Interpretabilidad: alta | Velocidad: más rápido,,grid,0.8780952919987651,0.007336704371033731,0.8425646873057696
3,knn,precision,5,0.8247632067180939,0.0009433905729334,0.7544087294669818,0.001681369638238,0.9630504833512352,0.0020121858212895,0.8460528649049609,0.0006027272078638,0.907730923299407,0.0009058021524109,1.142384672164917,333.83054580688474,predict_proba,0.8247632067180939,0.7544020683219361,0.9630504833512352,0.84605222523419,0.9077219429672824,0.8561505484014476,,,,,,,,,,,,3,media-baja,instancias / distancia,más rápido,-0.2086417538842534,True,Top 3 por Precision (CV) | prioriza control de falsos positivos | OOF Precision=0.754 | PR Gap=-0.209 | AUC CV=0.908 | Interpretabilidad: media-baja | Velocidad: más rápido,,grid,0.7628343036752739,0.008425574208292153,1.1168447393556988
