model_key,score_method,oof_accuracy,oof_precision,oof_recall,oof_f1,oof_roc_auc,oof_average_precision
rf,predict_proba,0.9886534518113466,0.9796239145852901,0.9980665950590762,0.9887592624837968,0.9994369429776275,0.9995917315473244
dt,predict_proba,0.9251342642320086,0.8707507323387151,0.9984767112586661,0.9302499067512122,0.9251342642320085,0.8701859719223023
knn,predict_proba,0.8247632067180939,0.7544020683219361,0.9630504833512352,0.84605222523419,0.9077219429672823,0.8561505484014476
gb,predict_proba,0.6763694951664877,0.6710935131858139,0.6917879113367835,0.6812835973035609,0.743403766893866,0.7287562819419174
svm,decision_function,0.49950200175764087,0.4997496539333785,0.9941216678058783,0.6651335389118277,0.5119801534126088,0.5203054396954909
lr,predict_proba,0.6634410702079875,0.665467199177508,0.6573186212283957,0.6613678119135808,0.7244737942907251,0.7086756037783787
